Name,Video Link,YouTube Link,Ingredients,Overview ,Directions,Benefits ,Category,Diet Type,Protein Type,Protein,Carbs,Fats,Calories,Meal Replacement,Gluten Free,Nut Free,Soy Free,Caffeine Free,Sugar Free
Watermelon Sunrise,,,"1/2 cup watermelon (fresh or frozen), 1/2 cup frozen strawberries, 1 tablespoon orange juice, 1 tablespoon chia seeds, 1 scoop plant-based protein powder, 1/2 cup coconut water, 1/2 cup ice",Get hydrated with this watermelon and strawberry smoothie- perfect after your next workout!,1. Combine all ingredients in a blender. Add more ice or water to reach the desired consistency. ,Energy,After Workout Shake,Paleo,Plant Based,16.7 g,34.6 g,6.1 g,249,No,Yes,Yes,Yes,Yes,Yes
Raspberry Chia Smoothie ,,,"1 cup frozen raspberries, 1 pear, 1/2 avocado, 1 tablespoon chia seeds, 1 tablespoon stevia, 1 scoop plant-based protein, 1/2 cup ice","This pinky red shake is high in vitamins, minerals, and fiber; a perfect way to fill you up any time!",1. Combine all ingredients in a blender. Add more ice or water to reach the desired consistency. ,Muscle,Meal Replacement Shakes,Plant Based ,Plant Based,"31.4 g""",70.6 g,22.1 g,572,Yes,Yes,Yes,Yes,Yes,Yes
Cherry Garcia,,,"1/2 cup frozen cherries, 1/2 cup light coconut milk, 2 tablespoon coconut yogurt, 1 scoop whey protein powder, 1 tablespoon chia seeds, 1 tablespoon cocoa powder, 1/2 teaspoon vanilla extract","Everyone's favorite ice cream flavor can now be had as a healthy, vitamin A-rich smoothie!",1. Combine all ingredients in a blender. Add more ice or water to reach the desired consistency. ,Muscle,Meal Replacement Shakes,Keto ,Whey Protein,30.2 g,30.1 g,24.5 g,450,Yes,Yes,Yes,Yes,Yes,Yes
Creamy Cherry Shake,,,"1/3 cup strawberries, 1/3 cup pitted cherries, 1/2 sliced banana, 1/2 cup light coconut milk, 1 scoop plant-based protein",This healthy and creamy cherry shake recipe is perfect for the summer. It's high in protein and vitamins!,1. Combine all ingredients in a blender. Add more ice or water to reach the desired consistency. ,Muscle,Weight Loss Shakes,Paleo,Plant Based,35.2 g,10.3 g,10.2 g,254,No,Yes,Yes,Yes,Yes,Yes
Mint Green Smoothie,,,"1/2 cup frozen pineapple, 1/3 cup cucumber, sliced, 1 cup baby spinach, 1/4 cup mint leaves, 1 cup cold water, 1 scoop rice protein powder",This is a refreshing and healthy smoothie recipe that you can make in the morning to start your day off right. ,1. Combine all ingredients in a blender. Add more ice or water to reach the desired consistency. ,Weight,Weight Loss Shakes,Whole 30,Rice Protein,17.3 g,33.6 g,0.6 g,204,No,Yes,Yes,Yes,Yes,Yes
Cinnamon Cookie Protein Shake,,,"1 tbsp cashew butter, 1 tsp vanilla extract, 1 tsp honey, 1 tsp cinnamon, ½ cup light coconut milk, 1 scoop whey protein powder",Get a healthy dose of protein for muscle building and recovery from this delicious cinnamon cookie shake!,1. Combine all ingredients in a blender. Add more ice or water to reach the desired consistency. ,Muscle,Muscle Gain Shakes,Keto ,Whey Protein,31.3 g,14.5 g,16.4 g,321,No,Yes,No,Yes,Yes,Yes
Tropical Green Protein Shake,,,"1 cup coconut yogurt, 1 cup frozen pineapple, 1 cup kale, ½ cup light coconut milk, 1 scoop plant-based protein",This tropical green shake is perfect for muscle building and providing you with the nutrients you need.,1. Combine all ingredients in a blender. Add more ice or water to reach the desired consistency. ,Muscle,Muscle Gain Shakes,Plant Based,Plant Based,15.2 g,42.1 g,14.1 g,350,No,Yes,Yes,Yes,Yes,Yes
Mango and Coconut Smoothie,,,"1/2 cup frozen mango chunks, 1/3 avocado, 1/2 cup light coconut milk, 1 tbsp flax seed meal, 1 scoop pea protein powder, 1 tsp honey, 1 tsp cinnamon","This smoothie is a great way to start your day with high quality, plant-based protein adnd it will leave you feeling energized and satisfied for hours!",1. Combine all ingredients in a blender. Add more ice or water to reach the desired consistency. ,Muscle,Muscle Gain Shakes,Plant Based,Pea Protein,19.3 g,29.6 g,22.1 g,378,Yes,Yes,Yes,Yes,Yes,No
Blackberry and Ginger Smoothie,,,"1 cup frozen blackberries, ½ frozen banana, ½ cup light coconut milk, 1 tsp honey, 1 tsp fresh lemon juice, 1 tsp finely chopped fresh ginger, 1 scoop plant based protein","This delicious and light smoothie is full of nutrients, antioxidants, protein, vitamins and minerals!",1. Combine all ingredients in a blender. Add more ice or water to reach the desired consistency. ,Muscle,Muscle Gain Shakes,Paleo,Plant Based,28.2 g,56.2 g,7.3 g,370,Yes,Yes,Yes,Yes,Yes,Yes
Peachy Pecan Protein Shake,,,"1/2 cup almond milk, 1 peach, chopped and frozen, 1/2 frozen banana, 1 tbs pecans, 1 scoop oat protein powder, 1/2 tsp vanilla extract, 1/4 tsp cinnamon","This high protein shake is a muscle-building powerhouse. Loaded with healthy ingredients like peaches and nuts, it's perfect for a quick breakfast or snack. Give it a try!",1. Combine all ingredients in a blender. Add more ice or water to reach the desired consistency. ,Muscle,Muscle Gain Shakes,Vegan ,Rice Protein,19.2 g,38.1 g,4.2 g,262,No,Yes,No,Yes,Yes,No
Green Pistachio Protein Smoothie,,,"1 frozen banana, 1 cup spinach, 1/3 avocado, 1/2 cup pineapple, 1/2 cup coconut yogurt, 1 oz pistachios, 1/4 tsp vanilla extract","Healthy and delicious, this green pistachio protein smoothie is a great way to start the day!",1. Combine all ingredients in a blender. Add more ice or water to reach the desired consistency. ,Muscle,Muscle Gain Shakes,Plant Based,Plant Based,19.5 g,41.2 g,22.1 g,415,Yes,Yes,No,Yes,Yes,Yes
Orange Creamsicle Protein Shake,,,"1/2 cup frozen mango, 2/3 cup coconut yogurt, 1 scoop pea protein powder, 1/4 cup coconut cream, 1 cup orange juice","This high calorie protein shake tastes just like an orange creamsicle, but it's packed with protein to help you reach your fitness goals! ",1. Combine all ingredients in a blender. Add more ice or water to reach the desired consistency. ,Muscle,High Calorie Protein Shakes,Plant Based,Pea Protein,33.5 g,69.4 g,27.0 g,631,Yes,Yes,Yes,Yes,Yes,Yes
Mixed Berry Meal Replacement Shake,,,"1/4 cup frozen blackberries, 1/4 cup frozen raspberries, 1/2 avocado, 1/4 cup Greek yogurt, 1/2 cup coconut milk, 1/2 tsp vanilla extract, 1 scoop casein protein","Looking for a high-protein, muscle building shake that's also healthy? Check out this delicious mixed berry shake recipe!",1. Combine all ingredients in a blender. Add more ice or water to reach the desired consistency. ,Muscle,High Calorie Protein Shakes,Keto,Casein Protein,36.3 g,25.5 g,51.4 g,669,Yes,Yes,Yes,Yes,Yes,Yes
Cocoa Mint Shake,,,"1 tbs ground flaxseed, 1 scoop rice protein powder, 3 tablespoon unsweetened cocoa powder, 2 tablespoons oats, 1/8 tsp salt, 1/4 cup coconut milk, 2 tbs cashew butter, 1/8 tsp pure peppermint extract ","This shake is packed with protein to help you grow muscle mass and keep your body healthy. It's also made with cocoa, which has health benefits of its own! ",1. Combine all ingredients in a blender. Add more ice or water to reach the desired consistency. ,Muscle,High Calorie Protein Shakes,Vegan ,Rice Protein,31.1 g,39.7 g,39.3 g,591,Yes,Yes,No,Yes,Yes,Yes
Cherry Almond Protein Smoothie,,,"1⁄2 avocado, 1 Tbsp unsweetened coconut flakes, 1 tbs almond butter, 1 cup frozen cherries, 1 scoop plant based protein, 1/4 cup coconut milk", Get started building muscle by making this high calorie cherry almond protein smoothie!,1. Combine all ingredients in a blender. Add more ice or water to reach the desired consistency. ,Muscle,High Calorie Protein Shakes,Paleo,Plant Based,28.4 g,39.2 g,44.0 g,631,Yes,Yes,No,Yes,Yes,Yes
Chia Java Shake,,,"1 frozen banana, 1 tbs cocoa powder, 1 tbs almond butter, 1 scoop plant based protein powder, 2 tbsp chia seeds,  1/2 cup cold coffee, 1/2 cup ice cubes","This high calorie shake is packed with protein and good carbs. It will keep you full, give your muscles the nutrients they need to grow, and it tastes great! ",1. Combine all ingredients in a blender. Add more ice or water to reach the desired consistency. ,Muscle,High Calorie Protein Shakes,Vegan ,Plant Based,34.5 g,46.1 g,18.1 g,452,Yes,Yes,No,Yes,No,Yes
Blueberry Cauliflower Smoothie,,,"1/2 cup frozen cauliflower rice, 1/4 cup frozen blueberries, 1 scoop pea protein powder, 1/2 avocado, 1/2 cup light coconut milk","This low carb smoothie is a great way to start your day. It's high in protein and fiber, keeping you full until lunchtime! ",1. Combine all ingredients in a blender. Add more ice or water to reach the desired consistency. ,Weight,Low Carb Shakes,Vegan ,Pea Protein,19 g,19 g ,23 g,338,No,Yes,Yes,Yes,Yes,Yes
Nutella Shake,,,"1 cup almond milk, 1 cup ice, 2 tablespoon hazelnut butter, 1 tablespoon cocoa powder, 1/2 tsp liquid stevia",Enjoy this low carb nutella shake for a delicious way to enjoy your favorite chocolate hazelnut spread. It's perfect for a quick snack or a satisfying dessert.,1. Combine all ingredients in a blender. Add more ice or water to reach the desired consistency. ,Energy,Low Carb Shakes,Plant Based,Plant Based,37 g,22 g,18 g,373,No,Yes,No,Yes,Yes,Yes
Pumpkin Pie Shake,,,"1 cup light coconut cream, 1/4 cup pumpkin puree, 1/2 tsp pumpkin pie spice, 1 scoop vanilla oat protein powder, 1 cups crushed ice",This low carb pumpkin pie shake is a delicious and easy way to enjoy the flavors of fall while helping you reach your health goals.,1. Combine all ingredients in a blender. Add more ice or water to reach the desired consistency. ,Energy,Low Carb Shakes,Whole 30,Oat Protein,28 g ,15 g,16 g,317,No,Yes,Yes,Yes,Yes,Yes
Kale Berry Shake,,,"2 cups kale, 1/4 cup raspberries, 1/2 squeezed lemon, 1 scoop rice protein powder, 1/2 cup ice, 1 cup water","This low carb kale berry shake is a great way to start your day. Kale and berries are both packed with nutrients, and this shake is a delicious way to get them all in one go",1. Combine all ingredients in a blender. Add more ice or water to reach the desired consistency. ,Weight,Low Carb Shakes,Vegan ,Rice Protein,30 g,19 g,4 g,210,No,Yes,Yes,Yes,Yes,Yes
Beetroot Booster,,,"1/2 cup almond milk, 1/2 cup water, 1/4 cup frozen strawberries, 1/2 beetroot, peeled, 1 scoop vanilla plant based protein powder, 1 teaspoon vanilla extract, 1/2 cup ice cubes","Get your beetroot boost with this low carb smoothie. This recipe has zero sugar and tons of nutrients, making it the perfect breakfast for anyone on a low carb diet.",1. Combine all ingredients in a blender. Add more ice or water to reach the desired consistency. ,Immunity,Low Carb Shakes,Paleo,Plant Based,28 g,1 g,12 g,185,No,Yes,Yes,Yes,Yes,Yes
Keto Strawberry Smoothie,,,"1 tbsp chia seeds, 1/4 tsp vanilla extract, 1/4 cup strawberries, 1/2 cup coconut milk, 1 scoop whey protein","Looking for a healthy keto smoothie recipe? This strawberry smoothie is perfect for you! It's low in carbs and high in fiber, making it the perfect snack or breakfast on the go. ",1. Combine all ingredients in a blender. Add more ice or water to reach the desired consistency. ,Energy,Keto Shakes,Keto,Whey Protein,29 g,18 g,33g,470,Yes,Yes,Yes,Yes,Yes,Yes
Coconut and Citrus Keto Shake,,,"1/2 cup coconut milk , 1/2 cup ice cubes, 1/2 banana, 1 tbs orange juice, 1 tbs lemon juice, 1/2 tsp cinnamon, 1 serving vanilla whey protein powder",Coconut and citrus make the perfect combination for a refreshing drink that will help you stay on track with your diet goals.,1. Combine all ingredients in a blender. Add more ice or water to reach the desired consistency. ,Energy,Keto Shakes,Keto,Whey Protein,28 g,27 g,30 g,465,Yes,Yes,Yes,Yes,Yes,Yes
Caramel Keto Shake,,,"1/2 cup coconut milk, 1/8 cup Greek yogurt, ¼ teaspoon ground nutmeg, ½ teaspoon ground cinnamon, 1/2 tsp vanilla extract, 1 scoop casein protein powder, 1 tsp stevia, 3/4 cup ice",This keto shake is a great way to get your morning off on the right foot. Get ready for those long days at work with this energizing and delicious breakfast option.,1. Combine all ingredients in a blender. Add more ice or water to reach the desired consistency. ,Energy,Keto Shakes,Keto,Casein Protein,22 g,20 g,33 g,447,Yes,Yes,Yes,Yes,Yes,Yes
Chocolate Cookie Keto Smoothie,,,"1/4 cup coconut milk, 1/4 cup almond milk, 1 tbs peanut butter, 1/4 tsp vanilla extract, 1/2 tsp stevia, 1 tbs cocoa powder, 1 scoop chocolate casein protein powder",This Keto chocolate cookie smoothie is a delicious and healthy way to enjoy the flavor of your favorite dessert while hitting your macros.,1. Combine all ingredients in a blender. Add more ice or water to reach the desired consistency. ,Energy,Keto Shakes,Keto,Casein Protein,24 g,13 g,25 g,358,Yes,Yes,No,Yes,Yes,Yes
Tropical Keto Shake,,,"1/4 cup frozen pineapple, 1/4 avocado, 1/4 cup coconut milk, 1/2 cup ice, 1/2 cup water",This keto shake recipe is perfect for a quick and healthy snack. It's packed with tropical flavors and will keep you satisfied until your next meal. ,1. Combine all ingredients in a blender. Add more ice or water to reach the desired consistency. ,Energy,Keto Shakes,Keto,Casein Protein,27 g,16 g,23 g,359,Yes,Yes,Yes,Yes,Yes,Yes
Peanut Butter Keto Shake,https://www.dropbox.com/s/3nwnpltfcjxp6ce/Peanut%20Butter%20Keto%20Shake%20v2.mp4?dl=0,https://youtube.com/shorts/S13wLyujAhg,"1/4 cup coconut milk, 1 tbs peanut butter, 1 scoop peanut butter casein protein powder, ½ tsp vanilla extract, 1/2 cup ice", This keto smoothie recipe uses peanut butter as the base for an easy and healthy shake that will give you plenty of natural fats and protein to help you make it through the day! ,1. Combine all ingredients in a blender. Add more ice or water to reach the desired consistency. ,Energy,Keto Shakes,Keto,Casein Protein,30 g,11 g,28 g,410,Yes,Yes,No,Yes,Yes,Yes
Keto Eggnog Smoothie,,,"1/4 cup coconut milk, 1/2 cup almond milk, 1 egg, 1/2 tsp stevia, 1 scoop vanilla protein powder, 1/2 tsp ground cinnamon, ½ tsp ground nutmeg",This Keto Eggnog smoothie is a festive drink that will keep you on track with your healthy eating goals.,1. Combine all ingredients in a blender. Add more ice or water to reach the desired consistency. ,Energy,Keto Shakes,Keto,Casein Protein,35 g,11 g,21 g,361,Yes,Yes,Yes,Yes,Yes,Yes
Greens and Avocado,,,"1/2 cup kale
1/4 avocado
1 kiwi fruit
1/2 frozen banana
1 tbs lime juice
1 scoop plant based protein powder
1 cup coconut water","If you're looking for a pre-workout shake that will help you power through your next workout, look no further than this recipe. It's packed with healthy nutrients that will give you the energy you need to push yourself to the next level.",1. Combine all ingredients in a blender. Add more ice or water to reach the desired consistency. ,Energy,Pre Workout Shakes,Paleo,Plant Based,33 g,48 g,9 g,373,Yes,Yes,Yes,Yes,Yes,Yes
Acai Berry Shake,,,"1 cup frozen mixed berries
1/3 cup frozen cherries
1/4 cup frozen acai
1/2 frozen banana
1/2 cup almond milk
1 scoop plant based protein","This acai berry shake recipe is packed with antioxidants, protein and healthy carbs to help give you the energy you need to crush your workout. Plus, it's delicious and easy to make!",1. Combine all ingredients in a blender. Add more ice or water to reach the desired consistency. ,Energy,Pre Workout Shakes,Whole 30,Plant Based,22 g,48 g,3 g,314,No,Yes,No,Yes,Yes,Yes
Apple and Lemon Smoothie,,,"1 apple, cored
1/2 cup frozen pineapple
1 teaspoon lemon juice
1 scoop rice protein powder
1 cup coconut water","This Apple and Lemon smoothie recipe will help you recover faster, get more energized, and get through your workout with ease.",1. Combine all ingredients in a blender. Add more ice or water to reach the desired consistency. ,Energy,Pre Workout Shakes,Plant Based,Rice Protein,23 g,61 g,4 g,354,No,Yes,Yes,Yes,Yes,Yes
Citrus Pre Workout Shake,https://www.dropbox.com/s/c0m6ictiqgzp1bl/Citrus%20Pre%20Workout%20Shoot%20v2.mp4?dl=0,https://youtube.com/shorts/7hySgH-nAkw,"1 orange, 1 frozen banana, 1 teaspoon lemon juice, 1/2 cup light coconut milk, 1 scoop plant based protein powder",Looking for a healthy pre-workout shake recipe? This citrus shake is packed with nutrients to help fuel your workout.,1. Combine all ingredients in a blender. Add more ice or water to reach the desired consistency. ,Energy,Pre Workout Shakes,Paleo,Plant Based,27 g,47 g,9 g,363,No,Yes,Yes,Yes,Yes,Yes
Strawberry Mint,,,"1/2 cup frozen strawberries
2 tbs mint leaves
1/2 cup light coconut milk
1 tbs lime juice
1 scoop pea protein powder","This shake is packed with healthy ingredients that will help power you through your workout. With protein, fiber and plenty of vitamins, this shake will give you the energy you need to stay focused and motivated.",1. Combine all ingredients in a blender. Add more ice or water to reach the desired consistency. ,Energy,Pre Workout Shakes,Vegan ,Pea Protein,25 g,23 g,9 g,259,No,Yes,Yes,Yes,Yes,Yes
Hard Greens Shake,,,"1/2 cup spinach
1/2 cup kale
1/2 cup frozen pineapple
1 scoop pea protein powder
1 cup coconut water",Hard Greens is a pre-workout shake that provides you with the necessary vitamins and nutrients to give your workout an extra boost.,1. Combine all ingredients in a blender. Add more ice or water to reach the desired consistency. ,Energy,Pre Workout Shakes,Whole 30,Pea Protein,28 g,26 g,2 g,227,No,Yes,Yes,Yes,Yes,Yes
Keto Pre-workout Berry Smoothie,,,"1/4 cup frozen mixed berries
1/2 cup coconut milk
1 scoop whey protein powder
1/2 cup ice",This is the perfect keto pre-workout smoothie recipe. It has all of your electrolytes and healthy fats to keep you going strong through a tough workout! ,1. Combine all ingredients in a blender. Add more ice or water to reach the desired consistency. ,Energy,Pre Workout Shakes,Keto,Whey Protein,27 g,18 g,21 g,352,No,Yes,Yes,Yes,Yes,Yes
Rasberry and Pineapple Smoothie,,,"1/2 cup frozen raspberries
1/2 cup frozen pineapples
1 frozen bananas
1 scoop vanilla rice protein powder
1 cup almond milk","This delicious pre-workout smoothie is packed with antioxidants, vitamins, minerals, and electrolytes. It's perfect for hydrating before a workout or race.",1. Combine all ingredients in a blender. Add more ice or water to reach the desired consistency. ,Energy,Pre Workout Shakes,Plant Based,Rice Protein,27 g,55 g,4 g,354,No,Yes,No,Yes,Yes,Yes
Cranberry Oat Smoothie,,,"1/2 banana, 1/4 tsp cinnamon, 1/2 oat milk, 1/2 tbs maple syrup, 1 scoop oat protein, 1/4 cup cranberries, 1/4 tsp vanilla extract",This cranberry and oat smoothie is a perfect addition to your pre-workout routine! It's full of healthy ingredients that will give you the energy and nutrition needed before hitting the gym. ,1. Combine all ingredients in a blender. Add more ice or water to reach the desired consistency. ,Energy,Pre Workout Shakes,Vegan ,Oat Protein,23 g,40 g,4 g,282,No,Yes,Yes,Yes,Yes,No
Ruby Red,https://www.dropbox.com/s/jx2tzib9fgcwb66/Ruby%20Red%20v1.mp4?dl=0,https://youtube.com/shorts/aYXyiLgt0nQ,"½ frozen banana, ½ cup raspberries, ¼ beetroot, 1 cup spinach, 1/2 cup light coconut milk, 1 tbs flax seed, 1 scoop protein powder, 1 cup ice",Ready for a bright red treat? This antioxidant-packed ruby red smoothie is bright in color and flavor.,1. Combine all ingredients in a blender. Add more ice or water to reach the desired consistency. ,Appearance,Superfood Smoothies,Vegan ,Plant Based,20.1 g,37.5 g,6.8 g,278,No,Yes,Yes,Yes,Yes,Yes
Banana Split,https://www.dropbox.com/s/sa9yqdg9ztseyls/Banana%20Split%20v2.mp4?dl=0,https://youtube.com/shorts/zCBWwov7YIo,"1 frozen banana, 1/2 cup frozen strawberries, 1/2 cup coconut yogurt, 1/2 tablespoon peanut butter, 1 tablespoon cocoa nibs, 1 teaspoon sprinkles, 1 scoop oat vanilla protein",Want a post-workout sweet treat? Try this brilliant banana split shake for extra protein and energy.,1. Combine all ingredients in a blender. Add more ice or water to reach the desired consistency. Top with cocoa nibs and enjoy.,Energy,After Workout Shake,Plant Based ,Oat Protein,20.2 g,64.9 g,11.5 g,412,Yes,Yes,No,Yes,Yes,Yes
Orange and Banana Protein Shake,https://www.dropbox.com/s/blo464a9x4hazqa/Orange%20%26%20Banana%20Protein%20Shake%20v2.mp4?dl=0,https://youtube.com/shorts/Zc4zbwelgn8,"1/2 frozen banana, 1/2 cup light coconut milk, 1 tablespoon orange zest, 1/2 orange, 1/3 avocado, 1 scoop rice protein powder","Try out this orange and banana shake for muscle building. It's packed with healthy antioxidants, easy to make, and tastes great!",1. Combine all ingredients in a blender. Add more ice or water to reach the desired consistency. ,Muscle,Muscle Gain Shakes,Whole 30,Rice Protein,18.1 g,35.2 g,19.2 g,362,Yes,Yes,Yes,Yes,Yes,Yes
Simple Spinach Shake,https://www.dropbox.com/s/qz2hqzbtxrqqn53/Simple%20Spinach%20v1.mp4?dl=0,https://youtu.be/LCAHoqUAxiE,"1/2 frozen banana, 1 cup spinach, 1 tbsp peanut butter, 1/2 cup almond milk, 1 scoop plant based protein powder","This simple, high-protein shake is a great way to build muscle and get your greens in at the same time!",1. Combine all ingredients in a blender. Add more ice or water to reach the desired consistency. ,Muscle,Muscle Gain Shakes,Vegan ,Plant Based,26.3 g,25.2 g,12.2 g,294,No,Yes,No,Yes,Yes,Yes
